,ECLO,방문자수,통행속도,주중,주말,store,새벽,밤,선릉,신논현,신사,압구정,청담
315,3,683.0,20.07,1,0,433.333333333,1,0,0,1,0,0,0
316,16,3546.0,19.43,1,0,433.333333333,0,1,0,1,0,0,0
317,6,1103.0,21.55,1,0,433.333333333,0,1,0,1,0,0,0
318,1,102.0,22.57,0,1,433.333333333,1,0,0,1,0,0,0
319,5,102.0,22.57,0,1,433.333333333,1,0,0,1,0,0,0
320,3,779.0,22.06,1,0,433.333333333,0,1,0,1,0,0,0
321,3,106.0,24.37,0,1,433.333333333,0,0,0,1,0,0,0
322,3,2389.0,23.29,0,1,433.333333333,1,0,0,1,0,0,0
323,3,965.0,24.25,1,0,433.333333333,0,1,0,1,0,0,0
324,3,327.0,21.78,1,0,433.333333333,1,0,0,1,0,0,0
325,3,985.0,20.92,1,0,433.333333333,0,1,0,1,0,0,0
326,3,909.0,22.36,1,0,433.333333333,0,0,0,1,0,0,0
327,6,80.0,23.93,0,1,433.333333333,1,0,0,1,0,0,0
328,9,2119.0,20.1,0,1,433.333333333,0,0,0,1,0,0,0
329,3,138.0,22.36,0,1,433.333333333,1,0,0,1,0,0,0
330,3,3.0,30.36,1,0,433.333333333,1,0,0,1,0,0,0
331,6,511.0,17.35,1,0,433.333333333,0,0,0,1,0,0,0
332,8,1916.0,22.94,1,0,645.6666666666666,0,0,1,0,0,0,0
333,3,2700.0,25.97,1,0,645.6666666666666,0,1,1,0,0,0,0
334,6,1856.0,15.8,1,0,645.6666666666666,0,0,1,0,0,0,0
335,3,2702.0,20.29,1,0,645.6666666666666,0,1,1,0,0,0,0
336,1,886.0,15.6,1,0,645.6666666666666,0,0,1,0,0,0,0
337,8,6.0,31.74,1,0,645.6666666666666,1,0,1,0,0,0,0
338,3,2804.0,18.11,1,0,645.6666666666666,0,1,1,0,0,0,0
339,5,300.0,30.85,1,0,645.6666666666666,1,0,1,0,0,0,0
340,6,3390.0,17.41,1,0,645.6666666666666,0,0,1,0,0,0,0
341,3,784.0,18.25,1,0,645.6666666666666,0,1,1,0,0,0,0
342,1,784.0,18.25,1,0,645.6666666666666,0,1,1,0,0,0,0
343,3,156.0,29.75,1,0,645.6666666666666,1,0,1,0,0,0,0
344,3,1618.0,17.72,1,0,645.6666666666666,0,1,1,0,0,0,0
345,5,986.0,20.06,1,0,645.6666666666666,0,1,1,0,0,0,0
346,5,280.0,18.56,1,0,645.6666666666666,0,1,1,0,0,0,0
347,3,6.0,30.54,1,0,645.6666666666666,1,0,1,0,0,0,0
348,15,508.0,20.73,0,1,645.6666666666666,0,1,1,0,0,0,0
349,6,394.0,26.65,0,1,645.6666666666666,0,1,1,0,0,0,0
350,3,2468.0,14.49,1,0,645.6666666666666,0,0,1,0,0,0,0
351,6,484.0,19.32,1,0,645.6666666666666,0,1,1,0,0,0,0
352,3,1474.0,17.76,1,0,645.6666666666666,0,1,1,0,0,0,0
353,6,560.0,20.05,1,0,645.6666666666666,0,1,1,0,0,0,0
354,6,654.0,18.33,1,0,645.6666666666666,0,1,1,0,0,0,0
355,5,2820.0,19.24,1,0,645.6666666666666,0,1,1,0,0,0,0
356,3,2314.0,19.9,1,0,645.6666666666666,0,1,1,0,0,0,0
357,9,2234.0,17.34,1,0,645.6666666666666,0,1,1,0,0,0,0
358,6,152.0,29.45,1,0,645.6666666666666,1,0,1,0,0,0,0
359,8,2784.0,10.49,1,0,645.6666666666666,0,1,1,0,0,0,0
360,3,1802.0,19.21,1,0,645.6666666666666,0,1,1,0,0,0,0
361,3,158.0,33.04,1,0,645.6666666666666,1,0,1,0,0,0,0
362,6,2342.0,15.71,1,0,645.6666666666666,0,1,1,0,0,0,0
363,6,1304.0,12.11,1,0,645.6666666666666,0,1,1,0,0,0,0
364,8,4156.0,13.08,1,0,645.6666666666666,0,0,1,0,0,0,0
365,3,2532.0,18.06,1,0,645.6666666666666,0,1,1,0,0,0,0
366,6,842.0,24.82,1,0,645.6666666666666,1,0,1,0,0,0,0
367,3,3156.0,8.21,1,0,645.6666666666666,0,0,1,0,0,0,0
368,3,2196.0,21.8,1,0,645.6666666666666,0,1,1,0,0,0,0
369,3,86.0,,0,1,645.6666666666666,1,0,1,0,0,0,0
